frame_rank	port_path	upstream_resolution	candidate_id	duplicate_of	terminal_status	stop_gate	failure_code	protocol_issue_code	evidence_refs
1	devel/flatzebra	PASS	C001	NONE	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C001-UR-01;EV-C001-E1-01;EV-C001-E2REP-01
2	devel/plib	PASS	C002	NONE	REJECTED	E2-REP	E2REP-NO-SINGLE-CANONICAL-LOCATION	NONE	EV-C002-UR-01;EV-C002-E1-01;EV-C002-E2REP-01
3	devel/pygame	PASS	C003	NONE	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C003-UR-01;EV-C003-E1-01;EV-C003-E2REP-01
21	games/afternoonstalker	PASS	C021	NONE	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C021-UR-01;EV-C021-E1-01;EV-C021-E2REP-01
27	games/amph	PASS	C027	NONE	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C027-UR-01;EV-C027-E1-01;EV-C027-E2REP-01
39	games/batrachians	PASS	C039	NONE	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C039-UR-01;EV-C039-E1-01;EV-C039-E2REP-01
40	games/belooted	PASS	C040	NONE	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C040-UR-01;EV-C040-E1-01;EV-C040-E2REP-01
41	games/beret	PASS	C041	NONE	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C041-UR-01;EV-C041-E1-01;EV-C041-E2REP-01
55	games/burgerspace	PASS	C055	NONE	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C055-UR-01;EV-C055-E1-01;EV-C055-E2REP-01
70	games/circuit	PASS	C070	NONE	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C070-UR-01;EV-C070-E1-01;EV-C070-E2REP-01
73	games/clines	PASS	C073	NONE	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C073-UR-01;EV-C073-E1-01;EV-C073-E2REP-01
79	games/cosmosmash	PASS	C079	NONE	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C079-UR-01;EV-C079-E1-01;EV-C079-E2REP-01
86	games/crossfire-client	PASS	C086	NONE	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C086-UR-01;EV-C086-E1-01;EV-C086-E2REP-01
105	games/eboard	PASS	C105	NONE	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C105-UR-01;EV-C105-E1-01;EV-C105-E2REP-01
109	games/einstein	PASS	C109	NONE	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C109-UR-01;EV-C109-E1-01;EV-C109-E2REP-01
110	games/eliot	PASS	C110	NONE	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C110-UR-01;EV-C110-E1-01;EV-C110-E2REP-01
106	games/eboard-extras	DUPLICATE	C105	C105	DUPLICATE	UR	NONE	NONE	EV-C105-DUP-01
6	emulators/dgen-sdl	PASS	C006	NONE	REJECTED	E2-REP	E2REP-NO-SINGLE-CANONICAL-LOCATION	NONE	EV-C006-UR-01;EV-C006-E1-01;EV-C006-E2REP-01
7	emulators/dosbox	PASS	C007	NONE	REJECTED	E2-REP	E2REP-NO-SINGLE-CANONICAL-LOCATION	NONE	EV-C007-UR-01;EV-C007-E1-01;EV-C007-E2REP-01
11	emulators/frodo	PASS	C011	NONE	REJECTED	E2-REP	E2REP-NO-SINGLE-CANONICAL-LOCATION	NONE	EV-C011-UR-01;EV-C011-E1-01;EV-C011-E2REP-01
4	editors/tiled	PASS	C004	NONE	UNRESOLVED	E4	NONE	PI-UNCLASSIFIED-SHAPE	EV-C004-UR-01;EV-C004-E1-01;EV-C004-E2REP-01;EV-C004-E2RULE-02;EV-C004-E3-02;EV-C004-E4-03
5	emulators/advancemame	PASS	C005	NONE	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C005-UR-01;EV-C005-E1-01;EV-C005-E2REP-02
8	emulators/dosbox-x	PASS	C008	NONE	UNRESOLVED	E4	NONE	PI-UNCLASSIFIED-SHAPE	EV-C008-UR-01;EV-C008-E1-01;EV-C008-E2REP-01;EV-C008-E2RULE-01;EV-C008-E3-02;EV-C008-E4-03
10	emulators/flycast	PASS	C010	NONE	UNRESOLVED	E2-REP	NONE	PI-UNCLASSIFIED-SHAPE	EV-C010-UR-01;EV-C010-E1-01;EV-C010-E2REP-02
12	emulators/libchdr	PASS	C012	NONE	UNRESOLVED	E2-REP	NONE	PI-UNCLASSIFIED-SHAPE	EV-C012-UR-01;EV-C012-E1-01;EV-C012-E2REP-02
14	emulators/snes9x	PASS	C014	NONE	UNRESOLVED	E2-REP	NONE	PI-UNCLASSIFIED-SHAPE	EV-C014-UR-01;EV-C014-E1-01;EV-C014-E2REP-02
9	emulators/fceux	PASS	C009	NONE	ELIGIBLE	NONE	NONE	NONE	EV-C009-UR-01;EV-C009-E1-01;EV-C009-E2REP-01;EV-C009-E2RULE-01;EV-C009-E3-01;EV-C009-E4-01
13	emulators/mednafen	PASS	C013	NONE	ELIGIBLE	NONE	NONE	NONE	EV-C013-UR-01;EV-C013-E1-01;EV-C013-E2REP-01;EV-C013-E2RULE-01;EV-C013-E3-01;EV-C013-E4-01
15	emulators/virtualjaguar	PASS	C015	NONE	REJECTED	E2-REP	E2REP-NO-SINGLE-CANONICAL-LOCATION	NONE	EV-C015-UR-01;EV-C015-E1-01;EV-C015-E2REP-01
16	games/1oom	PASS	C016	NONE	UNRESOLVED	E2-REP	NONE	PI-UNCLASSIFIED-SHAPE	EV-C016-UR-01;EV-C016-E1-01;EV-C016-E2REP-02
17	games/2048-cli	PASS	C017	NONE	UNRESOLVED	E2-REP	NONE	PI-UNCLASSIFIED-SHAPE	EV-C017-UR-01;EV-C017-E1-01;EV-C017-E2REP-01
